61853_2019.jpg : k=30, PSNR=34.88dB; k=10, PSNR=22.74dB; k=5, PSNR=19.58dB; k=3, PSNR=17.77dB; k=1, PSNR=15.63dB; 
61854_2019.jpg : k=30, PSNR=35.05dB; k=10, PSNR=23.37dB; k=5, PSNR=19.77dB; k=3, PSNR=18.10dB; k=1, PSNR=15.24dB; 
61855_2019.jpg : k=30, PSNR=35.99dB; k=10, PSNR=23.33dB; k=5, PSNR=19.85dB; k=3, PSNR=18.20dB; k=1, PSNR=15.86dB; 
61856_2019.jpg : k=30, PSNR=33.22dB; k=10, PSNR=21.70dB; k=5, PSNR=18.66dB; k=3, PSNR=16.96dB; k=1, PSNR=14.12dB; 
61857_2019.jpg : k=30, PSNR=37.82dB; k=10, PSNR=24.18dB; k=5, PSNR=20.45dB; k=3, PSNR=18.59dB; k=1, PSNR=16.12dB; 
61858_2019.jpg : k=30, PSNR=41.99dB; k=10, PSNR=26.48dB; k=5, PSNR=22.74dB; k=3, PSNR=20.87dB; k=1, PSNR=18.36dB; 
61859_2019.jpg : k=30, PSNR=35.33dB; k=10, PSNR=23.17dB; k=5, PSNR=20.61dB; k=3, PSNR=19.37dB; k=1, PSNR=17.42dB; 
61860_2019.jpg : k=30, PSNR=37.38dB; k=10, PSNR=23.71dB; k=5, PSNR=20.24dB; k=3, PSNR=18.65dB; k=1, PSNR=16.14dB; 
61861_2019.jpg : k=30, PSNR=37.28dB; k=10, PSNR=22.01dB; k=5, PSNR=18.77dB; k=3, PSNR=17.03dB; k=1, PSNR=14.29dB; 
61862_2019.jpg : k=30, PSNR=37.09dB; k=10, PSNR=24.82dB; k=5, PSNR=21.62dB; k=3, PSNR=19.75dB; k=1, PSNR=17.64dB; 
61863_2019.jpg : k=30, PSNR=40.37dB; k=10, PSNR=26.53dB; k=5, PSNR=22.96dB; k=3, PSNR=20.74dB; k=1, PSNR=16.60dB; 
61864_2019.jpg : k=30, PSNR=36.52dB; k=10, PSNR=22.69dB; k=5, PSNR=20.01dB; k=3, PSNR=17.93dB; k=1, PSNR=15.54dB; 
61865_2019.jpg : k=30, PSNR=35.19dB; k=10, PSNR=22.53dB; k=5, PSNR=19.18dB; k=3, PSNR=17.45dB; k=1, PSNR=14.89dB; 
61866_2019.jpg : k=30, PSNR=38.36dB; k=10, PSNR=24.92dB; k=5, PSNR=21.72dB; k=3, PSNR=19.69dB; k=1, PSNR=17.42dB; 
61867_2019.jpg : k=30, PSNR=37.51dB; k=10, PSNR=24.28dB; k=5, PSNR=21.29dB; k=3, PSNR=19.90dB; k=1, PSNR=17.64dB; 
61868_2019.jpg : k=30, PSNR=41.03dB; k=10, PSNR=27.17dB; k=5, PSNR=23.31dB; k=3, PSNR=21.59dB; k=1, PSNR=18.91dB; 
61869_2019.jpg : k=30, PSNR=38.78dB; k=10, PSNR=24.05dB; k=5, PSNR=19.72dB; k=3, PSNR=17.57dB; k=1, PSNR=15.54dB; 
61870_2019.jpg : k=30, PSNR=39.82dB; k=10, PSNR=25.78dB; k=5, PSNR=21.59dB; k=3, PSNR=19.29dB; k=1, PSNR=14.84dB; 
61871_2019.jpg : k=30, PSNR=33.67dB; k=10, PSNR=21.50dB; k=5, PSNR=18.77dB; k=3, PSNR=17.22dB; k=1, PSNR=15.15dB; 
61872_2019.jpg : k=30, PSNR=34.77dB; k=10, PSNR=21.75dB; k=5, PSNR=18.26dB; k=3, PSNR=16.44dB; k=1, PSNR=12.96dB; 
61873_2019.jpg : k=30, PSNR=38.51dB; k=10, PSNR=23.62dB; k=5, PSNR=20.55dB; k=3, PSNR=19.07dB; k=1, PSNR=17.35dB; 
61874_2019.jpg : k=30, PSNR=37.64dB; k=10, PSNR=24.58dB; k=5, PSNR=20.92dB; k=3, PSNR=19.26dB; k=1, PSNR=17.10dB; 
61875_2019.jpg : k=30, PSNR=38.89dB; k=10, PSNR=24.58dB; k=5, PSNR=20.83dB; k=3, PSNR=18.58dB; k=1, PSNR=15.15dB; 
61876_2019.jpg : k=30, PSNR=36.70dB; k=10, PSNR=22.71dB; k=5, PSNR=18.62dB; k=3, PSNR=16.69dB; k=1, PSNR=13.88dB; 
61877_2019.jpg : k=30, PSNR=36.31dB; k=10, PSNR=23.56dB; k=5, PSNR=20.00dB; k=3, PSNR=17.78dB; k=1, PSNR=15.20dB; 
61878_2019.jpg : k=30, PSNR=34.50dB; k=10, PSNR=23.04dB; k=5, PSNR=19.65dB; k=3, PSNR=17.61dB; k=1, PSNR=15.72dB; 
61879_2019.jpg : k=30, PSNR=34.19dB; k=10, PSNR=21.64dB; k=5, PSNR=18.52dB; k=3, PSNR=16.99dB; k=1, PSNR=14.43dB; 
61880_2019.jpg : k=30, PSNR=43.64dB; k=10, PSNR=26.67dB; k=5, PSNR=22.13dB; k=3, PSNR=19.89dB; k=1, PSNR=16.14dB; 
61881_2019.jpg : k=30, PSNR=34.21dB; k=10, PSNR=21.81dB; k=5, PSNR=18.47dB; k=3, PSNR=16.95dB; k=1, PSNR=14.47dB; 
61882_2019.jpg : k=30, PSNR=37.93dB; k=10, PSNR=23.46dB; k=5, PSNR=19.70dB; k=3, PSNR=17.81dB; k=1, PSNR=14.77dB; 
61883_2019.jpg : k=30, PSNR=37.28dB; k=10, PSNR=23.36dB; k=5, PSNR=19.81dB; k=3, PSNR=18.17dB; k=1, PSNR=15.88dB; 
61884_2019.jpg : k=30, PSNR=36.17dB; k=10, PSNR=22.24dB; k=5, PSNR=19.36dB; k=3, PSNR=17.94dB; k=1, PSNR=15.33dB; 
61885_2019.jpg : k=30, PSNR=34.78dB; k=10, PSNR=23.59dB; k=5, PSNR=20.82dB; k=3, PSNR=19.42dB; k=1, PSNR=17.45dB; 
61886_2019.jpg : k=30, PSNR=35.72dB; k=10, PSNR=23.78dB; k=5, PSNR=20.74dB; k=3, PSNR=19.40dB; k=1, PSNR=16.87dB; 
61887_2019.jpg : k=30, PSNR=33.11dB; k=10, PSNR=21.46dB; k=5, PSNR=18.61dB; k=3, PSNR=17.21dB; k=1, PSNR=15.27dB; 
61888_2019.jpg : k=30, PSNR=34.65dB; k=10, PSNR=22.44dB; k=5, PSNR=19.52dB; k=3, PSNR=18.04dB; k=1, PSNR=15.45dB; 
61889_2019.jpg : k=30, PSNR=33.87dB; k=10, PSNR=21.34dB; k=5, PSNR=18.16dB; k=3, PSNR=16.52dB; k=1, PSNR=14.10dB; 
